"Chr","Start","End","Conc","Conc_liver","Conc_colon","Fold","p-value","FDR"
"chr7",92053026,92054233,2.81,3.08,2.48,0.59,0.159,1
"chr12",54752752,54753412,2.86,3.1,2.58,0.52,0.159,1
"chr13",28194277,28196209,4.76,4.92,4.59,0.34,0.159,1
"chr12",12419554,12420489,3.31,3.48,3.11,0.37,0.159,1
"chr1",212208141,212209269,3.99,4.18,3.78,0.4,0.159,1
"chr2",192542444,192543823,4.19,4.3,4.07,0.24,0.159,1
"chrX",20159634,20160362,2.65,2.84,2.43,0.41,0.159,1
"chr13",99136590,99137564,3.47,3.73,3.15,0.58,0.159,1
"chr7",16524206,16525329,3.16,3.44,2.8,0.64,0.159,1
"chr2",218874747,218875669,3.2,3.4,2.96,0.44,0.159,1
"chr1",8214704,8216466,2.23,2.62,1.7,0.92,0.159,1
"chr12",72103896,72104550,2.23,2.52,1.86,0.66,0.159,1
"chr4",13655678,13656540,3.13,3.3,2.94,0.36,0.159,1
"chr19",53868632,53869575,2.84,3.09,2.53,0.56,0.159,1
"chr4",956542,957873,2.55,2.86,2.15,0.71,0.159,1
"chr8",20054552,20055695,3.54,3.67,3.38,0.29,0.159,1
"chr7",6769112,6769894,3.09,3.38,2.73,0.65,0.159,1
"chr10",43571060,43572902,3.67,3.84,3.46,0.38,0.159,1
"chr14",23563722,23564963,4.98,4.98,4.98,0,0.159,1
"chr2",3827851,3828839,2.04,2.43,1.51,0.93,0.159,1
"chr18",11980687,11981880,4.65,4.82,4.46,0.36,0.159,1
"chr6",84139973,84141855,4.07,4.24,3.88,0.35,0.159,1
"chr11",18127297,18127871,2.59,2.82,2.33,0.49,0.159,1
"chr22",31030430,31032788,3.53,3.67,3.38,0.3,0.159,1
"chr5",180648818,180651296,4.83,4.91,4.74,0.17,0.159,1
"chr10",102637974,102638599,2.91,3.09,2.72,0.37,0.159,1
"chr11",121335199,121335757,2.31,2.59,1.95,0.64,0.159,1
"chr4",44727942,44728884,3.38,3.6,3.12,0.48,0.159,1
"chr2",113626737,113627544,1.91,2.29,1.39,0.91,0.159,1
"chr2",25599633,25600232,2.29,2.55,1.98,0.57,0.159,1
"chr16",28935734,28937174,4.4,4.51,4.27,0.24,0.16,1
"chr11",110065008,110067386,3.37,3.57,3.13,0.45,0.16,1
"chr8",98775648,98776282,1.92,2.31,1.39,0.92,0.16,1
"chr21",9825385,9827657,9.15,9.22,9.07,0.14,0.16,1
"chr8",60031188,60032516,3.67,3.78,3.55,0.23,0.16,1
"chr6",82270748,82272332,2.87,3.15,2.53,0.62,0.16,1
"chr7",675399,676291,2.04,2.41,1.54,0.88,0.16,1
"chr6",56911172,56911933,2.45,2.82,1.95,0.87,0.16,1
"chr1",243579052,243579977,1.54,1.7,1.36,0.33,0.16,1
"chr12",16063987,16064666,2.95,3.2,2.64,0.56,0.16,1
"chr13",20993732,20994504,3.1,3.37,2.77,0.6,0.16,1
"chr18",54305277,54306253,3.85,3.96,3.73,0.22,0.16,1
"chr7",129588711,129589534,2.96,3.19,2.68,0.51,0.16,1
"chr14",105947115,105948611,3.97,4.06,3.87,0.18,0.16,1
"chr3",185959628,185960745,3.56,3.7,3.39,0.31,0.16,1
"chr6",89855322,89856691,3.79,3.89,3.69,0.2,0.16,1
"chr12",115105857,115106619,2.76,3,2.47,0.53,0.16,1
"chr19",12661808,12662793,3.58,3.79,3.34,0.45,0.16,1
"chr2",131148703,131149658,3.55,3.73,3.35,0.38,0.16,1
"chr11",120417254,120418929,3.1,3.3,2.86,0.44,0.16,1
"chr8",54793219,54794314,2.73,3.05,2.32,0.74,0.16,1
"chrX",102508829,102510286,2.54,2.93,1.99,0.93,0.16,1
"chr6",134499345,134500027,2.99,3.16,2.79,0.36,0.16,1
"chr19",23869343,23870284,2.17,2.57,1.6,0.97,0.161,1
"chrX",149743703,149744240,1.31,1.68,0.81,0.88,0.161,1
"chr10",43633295,43634513,3.41,3.63,3.14,0.49,0.161,1
"chr6",150463674,150465013,3.11,3.39,2.77,0.62,0.161,1
"chr5",141595355,141596157,2.34,2.69,1.88,0.8,0.161,1
"chr9",33473691,33474240,2.86,3.13,2.53,0.6,0.161,1
"chr1",42928608,42929155,2.63,2.86,2.37,0.5,0.161,1
"chr22",42665465,42666884,3.56,3.66,3.46,0.2,0.161,1
"chr1",213224324,213225192,3.47,3.7,3.19,0.52,0.161,1
"chr5",179920994,179922135,3.89,3.94,3.84,0.09,0.161,1
"chr17",40760966,40762506,3.74,3.84,3.64,0.21,0.161,1
"chr5",66461517,66462799,3.65,3.88,3.39,0.49,0.161,1
"chr17",79818159,79819197,4.58,4.69,4.47,0.21,0.161,1
"chr1",198905855,198906817,2.53,2.81,2.18,0.63,0.161,1
"chr5",54830089,54831214,4.27,4.4,4.12,0.28,0.161,1
"chr12",131323119,131324350,4,4.25,3.69,0.56,0.161,1
"chr22",41047676,41048733,3.23,3.48,2.92,0.56,0.161,1
"chr5",72742909,72744872,3.9,4.05,3.72,0.33,0.161,1
"chr10",105451825,105453296,3.36,3.53,3.16,0.37,0.161,1
"chr1",6662088,6663769,4.37,4.44,4.29,0.16,0.161,1
"chr7",100142427,100143706,2.02,2.32,1.63,0.7,0.161,1
"chr16",85044523,85045603,3.4,3.55,3.23,0.32,0.161,1
"chr14",51026922,51028020,2.88,3.11,2.6,0.5,0.161,1
"chr9",1009056,1009535,2.02,2.45,1.42,1.03,0.161,1
"chr10",1462952,1463491,2.34,2.61,2,0.62,0.161,1
"chr10",102973337,102974892,3.68,3.89,3.43,0.45,0.161,1
"chr11",63741655,63742490,3.29,3.43,3.14,0.29,0.162,1
"chr6",57036810,57037747,3.62,3.82,3.39,0.43,0.162,1
"chr3",49466445,49467346,2.78,3,2.52,0.47,0.162,1
"chr3",71924445,71924997,1.98,2.42,1.33,1.09,0.162,1
"chr5",179222408,179223825,4.07,4.19,3.94,0.25,0.162,1
"chr3",88198372,88199515,4.02,4.19,3.82,0.38,0.162,1
"chr17",45726643,45728269,5.16,5.29,5.01,0.28,0.162,1
"chr16",81779579,81780366,2.47,2.76,2.12,0.64,0.162,1
"chr2",32288231,32289480,4.77,4.85,4.69,0.15,0.162,1
"chr17",56769613,56770398,2.76,2.94,2.55,0.39,0.162,1
"chr2",191208001,191209248,3.26,3.49,2.98,0.51,0.162,1
"chr15",72978235,72979095,2.99,3.31,2.58,0.72,0.162,1
"chr1",157107772,157108749,3.73,3.89,3.55,0.34,0.162,1
"chr1",113498050,113499812,4.07,4.24,3.88,0.36,0.162,1
"chr6",156983109,156983584,1.94,2.29,1.47,0.82,0.162,1
"chr5",10353223,10354460,4.1,4.2,3.99,0.21,0.162,1
"chr2",25264249,25265801,4.24,4.4,4.06,0.34,0.162,1
"chr5",14871360,14872715,4.34,4.48,4.19,0.3,0.162,1
"chr17",48045716,48046742,3.7,3.87,3.5,0.37,0.162,1
"chr16",50186580,50188177,4.58,4.66,4.5,0.16,0.162,1
"chr4",113004360,113005182,2.31,2.64,1.88,0.76,0.162,1
"chr12",1239324,1240159,1.62,2.04,1.03,1.01,0.163,1
"chr11",117102614,117103801,3.89,3.98,3.8,0.19,0.163,1
"chr13",109917143,109918021,2.35,2.67,1.93,0.74,0.163,1
"chr4",73934524,73935858,4.26,4.45,4.04,0.4,0.163,1
"chr2",242088514,242090150,4.12,4.23,3.99,0.23,0.163,1
"chr2",60440492,60441772,1.9,2.19,1.54,0.65,0.163,1
"chr16",16043043,16043691,2.3,2.61,1.9,0.71,0.163,1
"chr15",51200093,51201338,3.29,3.52,3,0.52,0.163,1
"chr3",10052602,10053284,3.48,3.67,3.26,0.42,0.163,1
"chr12",65672276,65673184,2.83,3.01,2.63,0.38,0.163,1
"chr14",100040601,100042074,2.74,2.93,2.53,0.4,0.163,1
"chr2",106014898,106015734,2.98,3.32,2.54,0.78,0.163,1
"chr2",71473,72100,1.07,0.16,1.62,-1.46,0.163,1
"chr1",41846889,41849124,4.28,4.41,4.15,0.25,0.163,1
"chr2",102758872,102759672,3.17,3.42,2.88,0.54,0.163,1
"chr17",70712174,70714245,3.96,4.13,3.76,0.38,0.163,1
"chr7",140396244,140397356,4.3,4.38,4.22,0.16,0.163,1
"chr17",7463897,7465492,3.32,3.51,3.1,0.41,0.163,1
"chr19",36499045,36500527,3.16,3.43,2.83,0.6,0.163,1
"chr17",64298098,64299692,4.19,4.27,4.1,0.17,0.163,1
"chr9",77501812,77502919,2.91,3.25,2.46,0.79,0.163,1
"chr7",44529776,44530564,2.99,3.18,2.77,0.41,0.163,1
"chr19",12511105,12512375,3.28,3.52,3,0.51,0.163,1
"chr19",40502420,40503244,2.28,2.61,1.86,0.74,0.163,1
"chr18",61033630,61035188,4.43,4.61,4.23,0.38,0.163,1
"chr4",102711603,102713351,3.09,3.34,2.78,0.56,0.163,1
"chr9",19379850,19380826,3.58,3.79,3.34,0.46,0.163,1
"chr1",153580711,153582031,3.34,3.54,3.1,0.44,0.163,1
"chr3",149304672,149305151,1.38,1.84,0.7,1.14,0.164,1
"chr3",183542500,183543829,3.44,3.61,3.26,0.35,0.164,1
"chr10",129652112,129652702,2.61,2.92,2.2,0.72,0.164,1
"chr17",70402652,70404259,3.24,3.47,2.96,0.51,0.164,1
"chr15",78251554,78252190,2,2.32,1.58,0.74,0.164,1
"chr11",63448518,63449624,3.41,3.61,3.19,0.42,0.164,1
"chr2",118760930,118761331,1.5,2.01,0.72,1.29,0.164,1
"chr9",95895082,95897071,3.77,3.92,3.59,0.33,0.164,1
"chr2",20111434,20112176,2.75,3.08,2.33,0.75,0.164,1
"chr13",77565884,77566770,3.75,3.87,3.61,0.26,0.164,1
"chr17",78009411,78011015,3.9,4.09,3.68,0.41,0.164,1
"chr16",67693799,67695031,3.85,3.95,3.75,0.21,0.164,1
"chr17",40984957,40985703,2.82,2.94,2.69,0.26,0.164,1
"chr2",100105893,100107150,4.27,4.39,4.13,0.26,0.164,1
"chr9",108006488,108008043,5.12,5.22,5.02,0.2,0.164,1
"chr7",100201854,100203561,3.52,3.65,3.38,0.26,0.164,1
"chr16",81110107,81111155,4.64,4.78,4.48,0.3,0.164,1
"chr2",45168710,45169982,3.36,3.37,3.35,0.02,0.164,1
"chrX",46695790,46696725,2.55,2.75,2.32,0.43,0.164,1
"chr1",38273234,38274686,4.25,4.39,4.09,0.3,0.164,1
"chr12",127765141,127765690,2.8,3.04,2.51,0.53,0.164,1
"chr2",172750510,172751137,2.99,3.24,2.69,0.55,0.164,1
"chr16",3184574,3185340,3.14,3.34,2.91,0.43,0.164,1
"chr17",46125263,46126369,4.59,4.75,4.42,0.32,0.164,1
"chr18",43677824,43678742,2.99,3.24,2.7,0.54,0.164,1
"chr21",43098438,43099537,3,3.25,2.69,0.57,0.165,1
"chr1",223899936,223900812,3.44,3.55,3.32,0.23,0.165,1
"chr2",120516995,120518084,4.27,4.4,4.12,0.28,0.165,1
"chr3",191046833,191048611,3.83,4.02,3.6,0.42,0.165,1
"chr12",120906883,120907876,3.54,3.7,3.37,0.33,0.165,1
"chr3",98619982,98621081,4.28,4.46,4.07,0.39,0.165,1
"chr19",19174202,19175036,3.95,4.07,3.82,0.25,0.165,1
"chr1",173836812,173838061,4.92,5.07,4.75,0.32,0.165,1
"chr2",201753387,201754754,3.74,3.99,3.43,0.56,0.165,1
"chr3",183723802,183724240,1.72,2.18,1.02,1.16,0.165,1
"chr1",159750299,159751254,4.69,4.85,4.5,0.36,0.165,1
"chr8",122157526,122158275,2.56,2.82,2.24,0.58,0.165,1
"chr2",68978805,68979309,1.86,2.19,1.43,0.76,0.165,1
"chr21",37528011,37529679,4.6,4.78,4.38,0.4,0.165,1
"chr7",151424605,151425292,2.96,3.21,2.66,0.54,0.165,1
"chr9",2843462,2844484,3.9,4.07,3.71,0.36,0.165,1
"chr6",43484407,43485182,2.58,2.85,2.24,0.61,0.166,1
"chr16",89313447,89314335,3.46,3.61,3.29,0.32,0.166,1
"chr8",124428406,124429435,5.19,5.31,5.05,0.25,0.166,1
"chr7",129419293,129420600,4.42,4.54,4.3,0.23,0.166,1
"chr1",44047777,44048809,2.68,2.98,2.3,0.68,0.166,1
"chr15",20545523,20547854,4.68,4.52,4.83,-0.31,0.166,1
"chr16",20751588,20753433,3.73,3.91,3.51,0.41,0.166,1
"chr11",189589,190291,2.02,2.38,1.54,0.84,0.166,1
"chr2",44000957,44001629,2.51,2.76,2.21,0.55,0.166,1
"chr18",12376859,12377863,4.54,4.63,4.44,0.19,0.166,1
"chr13",96130711,96131215,2.23,2.59,1.74,0.85,0.166,1
"chr16",58282695,58284268,3.09,3.31,2.84,0.47,0.166,1
"chr1",145506981,145508097,3.14,3.34,2.91,0.43,0.166,1
"chr8",37552007,37553663,4.8,4.89,4.7,0.19,0.166,1
"chr14",89290551,89291460,3.62,3.76,3.47,0.29,0.166,1
"chr2",241525530,241526723,3.65,3.88,3.37,0.52,0.166,1
"chr10",101945160,101946343,3.98,4.14,3.79,0.35,0.166,1
"chr6",24283319,24284032,2.51,2.84,2.09,0.76,0.166,1
"chr8",105600802,105601734,3.56,3.65,3.45,0.2,0.166,1
"chr22",21056740,21058130,3.29,3.44,3.12,0.32,0.166,1
"chr20",55181283,55182130,2.4,2.73,1.97,0.76,0.166,1
"chr1",46767685,46769486,5.11,5.12,5.1,0.01,0.166,1
"chr17",57919812,57921484,3.97,4.12,3.8,0.32,0.166,1
"chr11",100557762,100558831,3.25,3.53,2.91,0.62,0.166,1
"chr1",161128780,161129837,3.26,3.42,3.08,0.34,0.167,1
"chr13",95247895,95249027,3.55,3.75,3.32,0.42,0.167,1
"chr4",36245340,36246615,3.88,4.06,3.67,0.39,0.167,1
"chr8",66546138,66546842,3.82,4.03,3.59,0.44,0.167,1
"chr1",151253550,151255126,4.7,4.82,4.57,0.24,0.167,1
"chr7",151493547,151494400,2.46,2.68,2.2,0.48,0.167,1
"chr6",143265664,143268904,5.69,5.68,5.7,-0.02,0.167,1
"chr12",89353639,89354722,2.16,2.57,1.57,1,0.167,1
"chr10",104473391,104474839,4.94,5.07,4.79,0.28,0.167,1
"chr22",32339897,32341015,3.59,3.76,3.39,0.37,0.167,1
"chr1",3827297,3827943,2.26,2.59,1.84,0.75,0.167,1
"chr13",51483644,51484816,3.14,3.39,2.85,0.54,0.167,1
"chr17",18056971,18057530,2.91,3.14,2.63,0.52,0.167,1
"chr2",234160021,234160691,2.92,3.16,2.64,0.52,0.167,1
"chr19",38791294,38791775,2.73,2.97,2.44,0.54,0.167,1
"chr17",3748776,3749854,3.08,3.24,2.9,0.34,0.167,1
"chr15",91592994,91593519,2.07,2.4,1.64,0.75,0.167,1
"chr16",1020590,1021367,3.27,3.45,3.05,0.4,0.167,1
"chr10",44101638,44102456,2.2,2.54,1.77,0.77,0.167,1
"chr22",29663732,29664737,3.24,3.4,3.05,0.35,0.167,1
"chr19",47744218,47744708,2.01,2.31,1.61,0.7,0.167,1
"chr13",53191199,53191886,3.27,3.43,3.09,0.35,0.167,1
"chr3",15140105,15141004,3.04,3.3,2.73,0.58,0.167,1
"chr5",68788081,68789679,3.48,3.66,3.28,0.37,0.167,1
"chr7",149468667,149469318,3.57,3.68,3.44,0.24,0.167,1
"chr11",64008114,64009390,4.39,4.47,4.31,0.15,0.168,1
"chr6",111926577,111927639,2.71,2.99,2.37,0.61,0.168,1
"chr2",178106690,178107576,1.63,2.1,0.95,1.14,0.168,1
"chr14",23449835,23452605,3.72,3.91,3.51,0.4,0.168,1
"chr6",74404742,74406167,2.86,3.06,2.63,0.43,0.168,1
"chr19",5719745,5720894,3.4,3.62,3.12,0.5,0.168,1
"chr6",58776230,58779736,8.44,8.56,8.3,0.26,0.168,1
"chr10",6621474,6622781,3.72,3.84,3.59,0.25,0.168,1
"chr11",117186272,117187467,3.38,3.53,3.2,0.33,0.168,1
"chr9",36765612,36766383,2.88,3.11,2.59,0.52,0.168,1
"chr2",176866101,176867244,3.58,3.76,3.37,0.39,0.168,1
"chr12",8395351,8396453,4.35,4.43,4.28,0.15,0.168,1
"chr3",49130759,49132292,4.13,4.22,4.03,0.19,0.168,1
"chr16",83960124,83960954,3.5,3.76,3.18,0.58,0.168,1
"chr1",235147300,235148016,2.4,2.69,2.03,0.66,0.168,1
"chrX",48595488,48596216,2.61,2.99,2.09,0.9,0.168,1
"chr8",133227238,133228189,2.76,2.96,2.52,0.44,0.168,1
"chr3",39680745,39681267,1.99,2.45,1.32,1.12,0.168,1
"chrX",101771254,101772451,2.83,3.09,2.52,0.56,0.168,1
"chr10",86253822,86254550,1.73,2.06,1.29,0.77,0.168,1
"chr6",30456937,30458158,3.07,3.31,2.79,0.52,0.168,1
"chr1",153505676,153506564,2.9,3.09,2.67,0.43,0.168,1
"chr15",40697286,40698403,3.35,3.51,3.18,0.33,0.168,1
"chr13",27745349,27746489,4.11,4.24,3.95,0.29,0.168,1
"chr8",144820791,144822971,4.18,4.31,4.02,0.29,0.168,1
"chr10",44143674,44144610,2.57,2.85,2.22,0.63,0.168,1
"chr1",41130891,41131705,2.95,3.11,2.78,0.33,0.168,1
"chr11",65264754,65265338,2.89,3.11,2.63,0.48,0.168,1
"chr18",9101915,9102969,3.46,3.63,3.26,0.37,0.168,1
"chr8",134581888,134585004,5.75,5.96,5.5,0.47,0.168,1
"chr6",71665082,71666078,3.15,3.36,2.91,0.45,0.168,1
"chr8",61048624,61049166,2.14,2.55,1.55,1,0.168,1
"chr10",99392766,99394043,3.34,3.49,3.16,0.33,0.168,1
"chr5",121297192,121297967,3.45,3.63,3.24,0.38,0.168,1
"chr11",103479852,103480584,2.31,2.7,1.79,0.91,0.169,1
"chr18",61089245,61090313,3.92,4.08,3.74,0.35,0.169,1
"chr19",11848854,11850177,3.63,3.85,3.37,0.49,0.169,1
"chr17",16255844,16257106,3.15,3.33,2.96,0.37,0.169,1
"chr16",74401609,74402480,3.13,3.31,2.92,0.39,0.169,1
"chr2",11884184,11885464,3.91,4.14,3.63,0.51,0.169,1
"chr14",53618577,53620453,3.74,3.85,3.62,0.23,0.169,1
"chr7",84320187,84320721,1.69,1.66,1.72,-0.06,0.169,1
"chr16",86544254,86544926,1.52,1.87,1.07,0.8,0.169,1
"chr18",60189592,60191513,5.07,5.19,4.93,0.26,0.169,1
"chr7",14028584,14031299,4.24,4.31,4.15,0.16,0.169,1
"chr14",101012474,101013306,2.75,3.03,2.4,0.62,0.169,1
"chr13",107570114,107570723,2.52,2.93,1.97,0.96,0.169,1
"chr6",161694346,161695679,3.67,3.87,3.43,0.43,0.169,1
"chr19",29703407,29704403,2.98,3.26,2.63,0.63,0.169,1
"chr6",122702645,122703269,1.09,1.63,0.2,1.43,0.169,1
"chr11",123451203,123451728,2.77,2.97,2.54,0.42,0.169,1
"chr18",46316629,46317399,2.38,2.64,2.06,0.58,0.169,1
"chr15",49447336,49448630,3.77,3.85,3.68,0.17,0.169,1
"chr11",74459574,74460659,3.76,3.86,3.66,0.2,0.169,1
"chr5",98108749,98110206,4.74,4.9,4.56,0.33,0.169,1
"chr11",123940069,123940503,2.21,2.56,1.74,0.82,0.169,1
"chr2",1711597,1712147,1.59,1.99,1.02,0.97,0.169,1
"chr14",35342608,35344810,4.01,4.15,3.86,0.3,0.169,1
"chr10",100174462,100175410,3.77,4.02,3.47,0.55,0.169,1
"chr19",12900563,12904906,5.62,5.63,5.6,0.03,0.169,1
"chr10",131908551,131910029,4.36,4.52,4.19,0.33,0.169,1
"chr17",43567638,43568543,2.65,2.95,2.28,0.67,0.169,1
"chr19",23432188,23433451,2.68,3.02,2.23,0.78,0.169,1
"chr1",33937831,33938471,3.49,3.68,3.27,0.41,0.169,1
"chr4",8689814,8690881,2.17,2.43,1.86,0.56,0.169,1
"chr5",145314827,145317162,3.57,3.72,3.39,0.33,0.169,1
"chr6",115866233,115866983,1.5,1.95,0.86,1.09,0.17,1
"chr3",37901819,37904067,4.35,4.53,4.15,0.37,0.17,1
"chr1",109756182,109757614,3.32,3.54,3.07,0.47,0.17,1
"chr22",43010499,43011745,3.71,3.81,3.6,0.2,0.17,1
"chr6",33167631,33169331,3.89,4.03,3.74,0.28,0.17,1
"chr12",113904981,113906373,2.94,3.12,2.74,0.39,0.17,1
"chr10",103453574,103455123,4.17,4.24,4.08,0.16,0.17,1
"chr12",127358896,127359391,1.96,2.36,1.41,0.95,0.17,1
"chr12",51632257,51633183,3.32,3.55,3.06,0.48,0.17,1
"chr8",77912111,77913156,4.81,4.98,4.62,0.36,0.17,1
"chr2",68289889,68290466,2.29,2.68,1.75,0.93,0.17,1
"chr7",157943757,157944336,2.51,2.78,2.17,0.61,0.17,1
"chr19",40931364,40932235,3.95,4,3.89,0.11,0.17,1
"chr9",139844283,139844891,2.78,2.98,2.55,0.43,0.17,1
"chr12",56222898,56224500,3.73,3.83,3.61,0.22,0.17,1
"chr7",56019270,56020044,2.68,2.94,2.35,0.59,0.17,1
"chr3",195621605,195623242,3.78,3.97,3.56,0.4,0.17,1
"chr10",112326870,112328277,4.65,4.85,4.42,0.42,0.17,1
"chr1",11322290,11323560,3.74,3.85,3.63,0.22,0.17,1
"chr6",46231050,46231445,1.78,1.94,1.6,0.34,0.17,1
"chr15",99395436,99396752,3.57,3.8,3.31,0.49,0.17,1
"chr11",65626766,65628305,3.98,4.07,3.89,0.18,0.17,1
"chr2",9318548,9320354,2.58,2.89,2.17,0.72,0.17,1
"chr4",83933406,83934504,3.85,4.03,3.64,0.39,0.17,1
"chr3",184079243,184081406,4.66,4.82,4.49,0.33,0.17,1
"chr4",2420165,2420839,3.67,3.78,3.54,0.24,0.171,1
"chr3",128997195,128998644,3.52,3.68,3.34,0.34,0.171,1
"chr21",34914286,34915903,4.44,4.48,4.39,0.09,0.171,1
"chr2",10972412,10972872,1.92,2.35,1.31,1.03,0.171,1
"chr1",150238366,150239684,2.4,1.85,2.79,-0.95,0.171,1
"chr8",59720031,59720876,2.01,2.44,1.41,1.03,0.171,1
"chr6",42372110,42372631,1.53,1.93,0.97,0.97,0.171,1
"chr14",102783172,102783957,2.67,2.95,2.34,0.61,0.171,1
"chr2",11294928,11295981,4.49,4.6,4.37,0.24,0.171,1
"chr3",152552259,152553864,3.11,3.32,2.88,0.44,0.171,1
"chr11",88663491,88664208,1.66,2.17,0.89,1.27,0.171,1
"chr11",57089657,57090375,3.56,3.77,3.32,0.45,0.171,1
"chr8",28347625,28348347,2.98,3.22,2.68,0.53,0.171,1
"chr17",67565060,67565883,2.05,2.37,1.64,0.73,0.171,1
"chr19",48248334,48249072,2.2,2.58,1.67,0.91,0.171,1
"chr17",73200953,73202003,3.22,3.47,2.92,0.56,0.171,1
"chr12",6861524,6863091,3.91,4.07,3.73,0.34,0.171,1
"chr2",62531865,62533254,3.23,3.46,2.95,0.51,0.171,1
"chr19",1746987,1748310,3.86,4.04,3.65,0.39,0.171,1
"chr17",7759696,7762000,3.96,4.14,3.76,0.38,0.171,1
"chr8",125900946,125901438,2.03,2.37,1.59,0.77,0.171,1
"chr7",100182866,100184465,4.49,4.66,4.31,0.35,0.171,1
"chr5",174035630,174036535,2.83,3.09,2.51,0.58,0.171,1
"chr22",31364565,31365827,3.92,3.93,3.92,0.01,0.171,1
"chr2",203102249,203103593,2.94,3.23,2.57,0.66,0.171,1
"chr16",55542690,55543736,3.1,3.35,2.81,0.53,0.171,1
"chr6",150393338,150393731,2.04,2.39,1.57,0.82,0.172,1
"chr2",69405308,69405877,2.84,3.06,2.59,0.47,0.172,1
"chr1",43231704,43233316,4.08,4.2,3.96,0.23,0.172,1
"chr19",47746370,47747837,3.29,3.39,3.18,0.21,0.172,1
"chr11",118965278,118966566,4.01,4.15,3.85,0.29,0.172,1
"chr12",62860322,62861053,2.85,3.09,2.58,0.51,0.172,1
"chr19",35758844,35760938,4.84,4.84,4.85,-0.01,0.172,1
"chr6",143247686,143248420,1.93,2.39,1.24,1.15,0.172,1
"chr1",26231603,26233132,3.54,3.75,3.29,0.46,0.172,1
"chr9",115512625,115513976,3.92,4.05,3.77,0.28,0.172,1
"chr16",75550662,75551588,4.05,4.19,3.9,0.29,0.172,1
"chr1",161369003,161370018,3.03,3.24,2.79,0.46,0.172,1
"chr16",48997468,48998678,2.38,2.7,1.99,0.71,0.172,1
"chr14",97263390,97264363,3.63,3.8,3.45,0.35,0.172,1
"chr11",86303678,86304375,2.1,2.43,1.66,0.78,0.172,1
"chr1",116314328,116314971,2.36,2.67,1.97,0.7,0.172,1
"chr3",58419142,58419929,3.74,3.89,3.56,0.34,0.172,1
"chr11",6383905,6384746,1.94,2.3,1.45,0.85,0.172,1
"chr7",50860243,50861522,3.42,3.49,3.34,0.16,0.172,1
"chr9",125590223,125591153,3.44,3.69,3.15,0.54,0.172,1
"chr7",985067,985871,3.12,3.31,2.91,0.4,0.172,1
"chr22",50963612,50965107,3.78,3.91,3.63,0.27,0.172,1
"chr1",93249962,93251164,3.94,4.09,3.77,0.32,0.172,1
"chr19",57791068,57792204,3.77,3.97,3.53,0.44,0.172,1
"chr10",23112010,23115152,3.79,3.93,3.65,0.28,0.172,1
"chr18",77153668,77154902,3.5,3.67,3.32,0.35,0.172,1
"chr5",166721821,166722717,1.74,2.23,0.98,1.25,0.172,1
"chr11",111749301,111750439,4.3,4.47,4.12,0.34,0.173,1
"chr17",32965280,32965664,1.65,2.05,1.09,0.96,0.173,1
"chr17",76929592,76930638,2.23,1.9,2.49,-0.59,0.173,1
"chr2",222436767,222438644,4.51,4.61,4.42,0.19,0.173,1
"chr19",17185823,17186698,3.18,3.36,2.97,0.39,0.173,1
"chr17",3538781,3540232,3.86,3.95,3.76,0.18,0.173,1
"chr12",32552068,32553249,4.28,4.4,4.16,0.24,0.173,1
"chr2",183580489,183581581,3.81,3.97,3.64,0.33,0.173,1
"chr16",81527003,81527822,3.06,3.24,2.85,0.39,0.173,1
"chr6",28109319,28109969,2.61,2.87,2.3,0.56,0.173,1
"chr9",34577523,34579353,3,2.5,3.37,-0.87,0.173,1
"chr4",178649390,178650335,3.41,3.65,3.13,0.52,0.173,1
"chr4",7044493,7045715,4.21,4.31,4.11,0.2,0.173,1
"chr14",37125089,37125713,2.03,2.4,1.54,0.86,0.173,1
"chr13",76290958,76291431,1.89,2.28,1.35,0.93,0.173,1
"chr7",157101831,157103557,3.28,3.45,3.07,0.38,0.173,1
"chr15",42565219,42566381,3.41,3.6,3.18,0.42,0.173,1
"chr3",113556547,113558009,3.27,3.38,3.15,0.23,0.173,1
"chr12",3861371,3862569,2.92,3.2,2.59,0.61,0.173,1
"chr21",44073691,44074820,2.16,2.49,1.72,0.77,0.173,1
"chr6",43635131,43636447,2.34,2.65,1.96,0.68,0.173,1
"chr6",43543195,43544071,3.26,3.41,3.1,0.31,0.173,1
"chr6",155495821,155496222,1.61,2.08,0.91,1.17,0.173,1
"chr3",134204186,134205497,4.14,4.3,3.95,0.35,0.173,1
"chr3",52007764,52009354,3.25,3.42,3.06,0.36,0.173,1
"chr10",74855932,74856995,3.53,3.74,3.29,0.45,0.173,1
"chr14",81901928,81903107,3.4,3.61,3.16,0.45,0.173,1
"chr17",41622163,41624127,3.59,3.8,3.33,0.47,0.173,1
"chr8",95369285,95370287,2.78,3.05,2.43,0.62,0.173,1
"chr5",34914981,34916036,4.06,4.22,3.87,0.35,0.173,1
"chr5",92917027,92918954,4.07,4.15,3.99,0.17,0.174,1
"chr15",75742748,75744694,5.42,5.53,5.29,0.24,0.174,1
"chr20",39316511,39319029,4.61,4.6,4.61,-0.02,0.174,1
"chr9",137217192,137219106,3.42,3.58,3.25,0.33,0.174,1
"chr12",12929223,12929581,0.89,0.29,1.31,-1.02,0.174,1
"chr17",7486870,7488228,2.78,3.02,2.49,0.53,0.174,1
"chr14",60631440,60632494,3.7,3.88,3.49,0.39,0.174,1
