"Chr","Start","End","Conc","Conc_colon","Conc_liver","Fold","p-value","FDR"
"chr1",112912230,112912745,4.57,4.06,4.96,-0.9,0.482,1
"chr2",55509143,55509742,4.13,3.64,4.49,-0.85,0.482,1
"chr2",8825363,8826230,5.28,4.77,5.66,-0.88,0.482,1
"chr2",191702198,191702553,2.88,2.33,3.27,-0.95,0.482,1
"chr3",181930217,181930938,5.32,4.8,5.71,-0.91,0.482,1
"chr4",144828720,144829220,2.22,1.63,2.64,-1.01,0.482,1
"chr1",60891184,60891614,3.61,3.07,4,-0.94,0.482,1
"chr19",491574,492029,1.56,0.94,1.99,-1.05,0.482,1
"chr8",91682454,91683629,5.7,5.17,6.08,-0.92,0.482,1
"chr14",89506641,89507882,5.92,5.38,6.31,-0.93,0.482,1
"chr5",42057306,42057811,4.1,3.59,4.47,-0.89,0.482,1
"chr2",95652102,95652513,3.14,2.56,3.54,-0.98,0.482,1
"chr2",232557591,232557982,2.82,2.31,3.2,-0.89,0.482,1
"chr20",8445131,8446237,2.82,2.31,3.2,-0.89,0.482,1
"chr18",18921130,18921512,2.35,1.81,2.74,-0.93,0.482,1
"chr7",96746598,96747366,5.54,5,5.93,-0.93,0.482,1
"chr13",99880988,99881736,4.02,3.47,4.42,-0.95,0.482,1
"chr4",166120576,166121471,3.48,2.97,3.86,-0.89,0.482,1
"chr3",72397019,72397381,3.13,2.58,3.53,-0.95,0.482,1
"chr1",45301511,45301890,2.77,2.18,3.19,-1.01,0.482,1
"chr3",32433015,32433836,5.43,4.93,5.81,-0.88,0.482,1
"chr4",76555444,76556101,4.83,4.3,5.22,-0.92,0.482,1
"chr13",107187493,107189012,6.76,6.21,7.15,-0.94,0.482,1
"chr10",122096101,122096839,3.69,3.17,4.07,-0.9,0.483,1
"chr5",161635999,161636660,3.54,2.96,3.95,-0.99,0.483,1
"chr5",40835129,40836269,5.83,5.27,6.23,-0.95,0.483,1
"chr18",19748982,19750779,6.09,5.59,6.46,-0.87,0.483,1
"chr2",127975331,127975881,3.72,3.19,4.11,-0.92,0.483,1
"chr8",102516463,102517174,3.33,2.82,3.7,-0.88,0.483,1
"chr9",116353992,116354255,2.57,1.97,2.99,-1.02,0.483,1
"chr18",45756873,45757282,3.05,2.49,3.45,-0.96,0.483,1
"chr8",128755080,128755700,4.99,4.47,5.37,-0.9,0.483,1
"chr10",100612433,100612822,2.75,2.18,3.16,-0.98,0.483,1
"chr12",81231091,81231458,2.75,2.18,3.16,-0.98,0.483,1
"chr15",101261808,101262708,5.2,4.64,5.6,-0.96,0.483,1
"chr3",134319634,134320167,4.19,3.68,4.58,-0.9,0.483,1
"chr3",69170056,69170371,2.73,2.2,3.12,-0.91,0.483,1
"chr6",56628882,56629238,2.73,2.2,3.12,-0.91,0.483,1
"chr15",60591060,60592311,3.57,3.11,3.91,-0.8,0.483,1
"chr14",54422683,54423885,5.31,4.81,5.68,-0.87,0.483,1
"chr1",226186832,226187461,5.3,4.8,5.67,-0.87,0.483,1
"chr6",2448966,2449338,2.9,2.39,3.27,-0.89,0.483,1
"chr5",81147411,81148726,4.98,4.47,5.35,-0.88,0.483,1
"chr20",50149567,50150405,4.28,3.75,4.66,-0.91,0.483,1
"chr12",14360713,14361456,3.24,2.74,3.62,-0.88,0.483,1
"chr3",149901906,149902585,3.88,3.34,4.28,-0.94,0.483,1
"chr1",85755099,85755618,3.96,3.46,4.34,-0.88,0.483,1
"chr10",78063542,78063890,2.97,2.38,3.38,-1,0.483,1
"chr2",233415016,233415963,5.53,5.02,5.9,-0.88,0.483,1
"chr4",181748487,181749939,4.46,3.95,4.83,-0.88,0.483,1
"chr4",48956498,48957149,3.16,2.64,3.54,-0.89,0.483,1
"chr4",69364084,69364540,3.34,2.78,3.74,-0.96,0.483,1
"chr4",20774929,20775410,3.54,2.98,3.94,-0.96,0.483,1
"chr15",74833092,74833743,5.06,4.58,5.42,-0.85,0.483,1
"chr20",10584960,10585582,3.5,3.01,3.87,-0.86,0.483,1
"chr12",125549601,125550567,5.59,5.08,5.97,-0.89,0.483,1
"chr21",10804955,10805551,2.31,2.72,1.72,1,0.483,1
"chr8",110618876,110620448,6.08,5.5,6.5,-1,0.483,1
"chr1",12545820,12546946,4.04,3.54,4.41,-0.87,0.483,1
"chr4",47566594,47567623,4.87,4.33,5.26,-0.94,0.483,1
"chr9",36008458,36009227,3.8,3.31,4.16,-0.85,0.483,1
"chrX",45569388,45570155,3.82,3.32,4.19,-0.87,0.483,1
"chr7",13919859,13920631,3.18,2.66,3.57,-0.91,0.483,1
"chr1",48574542,48575442,3.36,2.88,3.72,-0.85,0.483,1
"chr7",144733482,144734253,3.36,2.88,3.72,-0.85,0.483,1
"chr19",18415217,18416417,4.59,4.09,4.96,-0.87,0.483,1
"chr1",206234443,206234842,3.21,2.71,3.58,-0.88,0.483,1
"chr1",170898861,170899368,3.85,3.33,4.23,-0.91,0.483,1
"chr10",121618868,121619519,3.51,3.02,3.87,-0.85,0.483,1
"chr12",2628877,2629977,1.38,1.84,0.7,1.14,0.483,1
"chr7",39504545,39504974,3.46,2.94,3.84,-0.9,0.483,1
"chr5",125930629,125931338,5.72,5.18,6.12,-0.94,0.484,1
"chr1",42306359,42307104,4.14,3.65,4.51,-0.86,0.484,1
"chr15",62898593,62899359,4.14,3.65,4.51,-0.86,0.484,1
"chr7",22599422,22599891,3.88,3.36,4.26,-0.91,0.484,1
"chr2",667342,667686,2.78,2.22,3.18,-0.95,0.484,1
"chr9",126803270,126803615,3.3,2.81,3.66,-0.85,0.484,1
"chr5",144938590,144938983,2.83,1.92,3.38,-1.46,0.484,1
"chr12",54996842,54997296,3.05,2.51,3.44,-0.93,0.484,1
"chr2",201577733,201578244,4.89,4.35,5.28,-0.93,0.484,1
"chr4",25314065,25314682,5.33,4.82,5.7,-0.88,0.484,1
"chr8",136478073,136478517,3.33,2.8,3.73,-0.93,0.484,1
"chr4",6689955,6691938,5.6,5.1,5.97,-0.87,0.484,1
"chr2",178770526,178771227,4.02,3.49,4.41,-0.93,0.484,1
"chr12",17092647,17093270,4.01,3.46,4.4,-0.94,0.484,1
"chr9",74763478,74764844,5.34,4.84,5.72,-0.88,0.484,1
"chr15",92554272,92555633,3.63,3.14,3.99,-0.85,0.484,1
"chr7",81877086,81877503,2.32,1.69,2.75,-1.06,0.484,1
"chrX",64195344,64196637,5.12,4.57,5.52,-0.95,0.484,1
"chr4",145587686,145588379,3.19,2.68,3.57,-0.89,0.484,1
"chr3",126763887,126764206,2.81,2.29,3.2,-0.91,0.484,1
"chr1",190290044,190290428,2.34,1.75,2.75,-1,0.484,1
"chr16",49642803,49643075,2.34,1.75,2.75,-1,0.484,1
"chr20",55664645,55665101,4.13,3.62,4.51,-0.89,0.484,1
"chr7",121944647,121946304,5.91,5.38,6.29,-0.91,0.484,1
"chr19",21264699,21265411,5.12,4.62,5.49,-0.87,0.484,1
"chr11",122874153,122874528,1.56,0.89,2.02,-1.13,0.484,1
"chr2",200775576,200776738,6.37,5.81,6.78,-0.96,0.484,1
"chr11",6759118,6759494,2.6,2.98,2.08,0.9,0.484,1
"chr11",60598266,60599464,4.52,4.03,4.89,-0.87,0.484,1
"chr18",55105089,55105396,4.22,3.67,4.62,-0.95,0.484,1
"chr1",249218888,249219508,3.35,2.82,3.73,-0.91,0.484,1
"chr11",29181062,29181760,4.02,3.51,4.4,-0.89,0.484,1
"chr5",62015718,62016197,3.72,3.15,4.12,-0.98,0.484,1
"chr2",38303336,38304553,6.06,5.52,6.45,-0.93,0.484,1
"chr1",60598799,60599184,2.55,2,2.95,-0.96,0.484,1
"chr13",26148506,26148935,3.37,2.86,3.75,-0.88,0.484,1
"chr14",78283650,78284059,3.37,2.86,3.75,-0.88,0.484,1
"chr3",174673228,174673789,3.46,2.93,3.84,-0.91,0.484,1
"chr1",23302923,23303429,3.68,3.2,4.04,-0.84,0.484,1
"chr3",5163697,5164710,5.69,5.15,6.08,-0.93,0.484,1
"chr10",124408184,124408681,4.07,3.59,4.42,-0.84,0.484,1
"chr5",44875731,44877364,5.42,4.88,5.81,-0.93,0.484,1
"chr1",174967823,174969455,7.07,6.55,7.45,-0.89,0.484,1
"chr11",15962658,15963136,3.51,3.01,3.88,-0.87,0.484,1
"chr11",82904463,82905747,5.93,5.4,6.32,-0.92,0.484,1
"chr9",109975521,109976251,4.73,4.19,5.12,-0.93,0.484,1
"chr1",226905244,226905589,2.97,2.48,3.34,-0.86,0.484,1
"chr1",70885941,70886397,3.15,2.29,3.68,-1.4,0.484,1
"chr16",82030340,82031774,5.25,4.7,5.65,-0.95,0.484,1
"chr11",19745015,19745679,3.42,2.92,3.79,-0.87,0.484,1
"chr6",36733906,36734266,2.95,2.48,3.31,-0.83,0.484,1
"chr2",69239934,69241093,5.38,4.84,5.77,-0.92,0.484,1
"chr10",101130625,101131136,3.88,3.35,4.28,-0.93,0.484,1
"chr15",90754796,90755480,4.75,4.25,5.13,-0.88,0.484,1
"chr8",54934274,54935441,5.57,5.04,5.95,-0.91,0.484,1
"chrX",10588399,10588741,3.42,2.91,3.81,-0.9,0.484,1
"chr7",155172826,155173406,4.24,3.68,4.63,-0.95,0.485,1
"chr4",1039926,1040738,4.47,3.97,4.84,-0.87,0.485,1
"chrX",107334368,107335499,5.74,5.19,6.13,-0.94,0.485,1
"chr2",170681153,170681664,4.83,4.32,5.21,-0.89,0.485,1
"chr1",63614640,63615133,3.52,3,3.91,-0.92,0.485,1
"chr6",101674449,101675110,2.95,2.38,3.36,-0.97,0.485,1
"chr12",109248115,109248570,4,3.5,4.37,-0.86,0.485,1
"chr8",96814104,96814431,2.71,2.09,3.14,-1.05,0.485,1
"chr8",66629151,66629949,4.42,3.86,4.82,-0.97,0.485,1
"chr6",134499521,134500027,4.65,4.14,5.03,-0.89,0.485,1
"chr3",143689795,143692281,7.48,7,7.83,-0.83,0.485,1
"chr5",132759443,132759891,3.48,3.02,3.83,-0.82,0.485,1
"chr3",181457376,181457762,2.83,2.27,3.24,-0.97,0.485,1
"chr2",160457206,160458037,3.83,3.34,4.2,-0.87,0.485,1
"chr15",90514727,90515165,3.56,3.04,3.93,-0.89,0.485,1
"chr6",80579222,80579761,4.54,4.03,4.92,-0.89,0.485,1
"chr16",85428982,85429613,4.96,4.45,5.33,-0.89,0.485,1
"chr2",219712342,219712662,2.93,2.4,3.31,-0.91,0.485,1
"chr8",98817081,98817542,2.93,2.4,3.31,-0.91,0.485,1
"chr13",111471715,111472225,3.73,3.22,4.11,-0.88,0.485,1
"chr7",156397126,156397728,3.28,2.75,3.66,-0.91,0.485,1
"chr21",14359030,14359389,1.26,1.75,0.52,1.24,0.485,1
"chr15",60683237,60683709,4.38,3.81,4.78,-0.97,0.485,1
"chr14",97543517,97544257,3.77,3.28,4.13,-0.86,0.485,1
"chr7",21984257,21985984,6.53,5.97,6.93,-0.96,0.485,1
"chr14",95949465,95950863,4.72,4.22,5.1,-0.88,0.485,1
"chr20",44410000,44410551,3.68,3.21,4.03,-0.82,0.485,1
"chr13",74282495,74282879,2.95,2.4,3.35,-0.94,0.485,1
"chr14",92938262,92939313,3.85,3.38,4.21,-0.84,0.485,1
"chr2",139603742,139604219,3.53,2.98,3.92,-0.94,0.485,1
"chr8",130547794,130548541,4.99,4.46,5.37,-0.91,0.485,1
"chr11",36171104,36171868,5.57,5,5.97,-0.97,0.485,1
"chr18",56431489,56431818,3.04,2.55,3.41,-0.86,0.485,1
"chr15",93864920,93865868,4.71,4.2,5.09,-0.88,0.485,1
"chr2",167395809,167396309,3.58,3.08,3.95,-0.87,0.485,1
"chr17",46560532,46561593,5.13,4.66,5.48,-0.82,0.485,1
"chr2",43863937,43864799,5.4,4.87,5.79,-0.92,0.485,1
"chr15",101253501,101254150,4.95,4.42,5.35,-0.93,0.485,1
"chr2",182756219,182757473,6.48,5.95,6.87,-0.92,0.485,1
"chr1",29240555,29241612,5.08,4.6,5.44,-0.84,0.485,1
"chr2",98552435,98552993,3.19,2.66,3.58,-0.92,0.485,1
"chr3",179065175,179065985,5.48,4.95,5.87,-0.92,0.485,1
"chr14",59583582,59584252,4.23,3.72,4.6,-0.88,0.485,1
"chr8",67445782,67446136,3.82,3.31,4.19,-0.89,0.485,1
"chr7",92861087,92862112,6.28,5.71,6.69,-0.98,0.485,1
"chr5",171401997,171402703,2.89,2.37,3.27,-0.91,0.485,1
"chr1",201083190,201084249,5.64,5.11,6.02,-0.9,0.485,1
"chr12",54688050,54688602,2.86,3.21,2.39,0.82,0.485,1
"chr1",15466162,15466766,4.56,4.06,4.93,-0.87,0.485,1
"chr3",97437987,97438384,3.1,2.55,3.51,-0.96,0.486,1
"chr9",111206413,111207850,4.29,3.77,4.67,-0.91,0.486,1
"chr8",90083907,90084313,2.53,2.02,2.9,-0.88,0.486,1
"chr10",117332583,117333003,3.3,2.72,3.71,-0.99,0.486,1
"chr2",19558007,19558682,4.23,3.75,4.59,-0.84,0.486,1
"chr3",73045622,73047088,5.98,5.45,6.37,-0.92,0.486,1
"chr8",110583033,110583875,4.33,3.82,4.71,-0.89,0.486,1
"chr1",90452718,90453090,2.66,2.07,3.08,-1.01,0.486,1
"chr16",9319376,9319708,2.66,2.07,3.08,-1.01,0.486,1
"chr2",73517426,73517734,2.44,1.86,2.86,-0.99,0.486,1
"chr4",68886949,68887356,2.44,1.86,2.86,-0.99,0.486,1
"chr9",118706470,118706914,2.44,1.86,2.86,-0.99,0.486,1
"chr1",181393929,181394497,3.58,3.08,3.95,-0.87,0.486,1
"chr5",169611012,169611431,4.24,3.76,4.59,-0.83,0.486,1
"chrX",24072237,24073283,4.99,4.46,5.38,-0.93,0.486,1
"chr8",38571753,38572239,2.89,2.35,3.29,-0.95,0.486,1
"chr7",134853867,134855840,6.72,6.17,7.12,-0.95,0.486,1
"chr12",120105338,120106262,6.09,5.55,6.48,-0.93,0.486,1
"chr11",89210302,89210771,2.55,1.92,2.99,-1.07,0.486,1
"chr6",104679861,104680346,3.58,3.01,3.99,-0.99,0.486,1
"chr1",186649149,186649936,5.35,4.79,5.75,-0.97,0.486,1
"chr14",78121289,78121769,3.77,3.27,4.14,-0.87,0.486,1
"chr2",224561458,224563191,5.22,4.71,5.59,-0.88,0.486,1
"chr16",17650376,17650809,2.86,2.31,3.26,-0.95,0.486,1
"chr11",111100968,111101932,4.9,4.37,5.28,-0.92,0.486,1
"chr19",37177967,37178848,5.26,4.77,5.62,-0.84,0.486,1
"chrX",151806039,151806687,5.09,4.55,5.48,-0.94,0.486,1
"chr8",74566224,74566578,2.17,1.53,2.61,-1.08,0.486,1
"chr2",118845592,118846479,6.33,5.77,6.74,-0.97,0.486,1
"chr15",62637109,62637613,4.01,3.51,4.39,-0.87,0.486,1
"chr11",114151287,114151738,4.03,3.49,4.42,-0.93,0.486,1
"chr12",81844881,81845378,3.39,2.91,3.76,-0.85,0.486,1
"chr3",67022177,67023060,4.87,4.35,5.25,-0.9,0.486,1
"chr1",160489428,160491028,4.13,3.64,4.49,-0.84,0.486,1
"chrX",30233299,30233909,4.63,4.07,5.04,-0.96,0.486,1
"chr7",22589696,22590249,3.72,3.18,4.12,-0.94,0.486,1
"chrX",150565156,150566289,5.19,4.65,5.58,-0.93,0.486,1
"chr15",40856809,40857577,5.33,4.82,5.7,-0.88,0.486,1
"chr14",37411454,37411826,3.11,2.61,3.47,-0.86,0.486,1
"chr7",1032730,1033209,4.35,3.84,4.73,-0.89,0.486,1
"chr5",39424644,39425584,5.55,4.99,5.95,-0.96,0.486,1
"chr2",46398961,46399801,3.96,3.42,4.36,-0.93,0.486,1
"chr18",32820330,32821294,5.75,5.22,6.14,-0.92,0.486,1
"chr1",97061745,97062229,4.09,3.55,4.49,-0.94,0.486,1
"chr10",82356358,82356757,3.42,2.92,3.8,-0.88,0.486,1
"chr3",184495499,184495954,3.42,2.92,3.8,-0.88,0.486,1
"chr17",44302158,44303082,4.68,4.21,5.04,-0.83,0.486,1
"chr9",21802039,21803261,5.79,5.26,6.18,-0.93,0.486,1
"chr7",131750310,131750875,3.67,3.16,4.05,-0.89,0.486,1
"chr3",160472368,160474063,6.91,6.37,7.29,-0.92,0.486,1
"chr8",98572131,98572703,4.44,3.91,4.82,-0.91,0.486,1
"chr2",135675620,135677035,7.11,6.59,7.49,-0.9,0.486,1
"chr3",165592247,165593475,5.49,4.94,5.88,-0.95,0.486,1
"chrX",119619575,119620320,4.52,3.99,4.9,-0.91,0.487,1
"chr2",122042149,122043106,5.83,5.3,6.22,-0.93,0.487,1
"chr7",45893912,45894305,2.77,2.25,3.15,-0.9,0.487,1
"chr6",147827886,147830539,6.45,5.93,6.83,-0.9,0.487,1
"chr5",41903928,41904697,6.46,5.9,6.86,-0.96,0.487,1
"chr15",89750006,89750498,4.06,3.55,4.44,-0.88,0.487,1
"chr17",56076851,56077181,3.08,2.55,3.47,-0.92,0.487,1
"chr11",9634685,9636106,5.92,5.39,6.31,-0.91,0.487,1
"chr6",19413394,19413905,3.5,2.99,3.87,-0.87,0.487,1
"chr12",7315241,7315660,3.63,3.11,4.02,-0.9,0.487,1
"chr8",76395593,76395986,3.63,3.11,4.02,-0.9,0.487,1
"chr12",74931178,74932411,5.65,5.13,6.03,-0.9,0.487,1
"chr7",98047958,98048632,4.79,4.3,5.16,-0.86,0.487,1
"chr7",112929187,112929697,3.47,2.89,3.88,-0.99,0.487,1
"chr1",249132020,249133455,7.31,6.8,7.69,-0.89,0.487,1
"chr21",38549067,38549427,2.38,1.84,2.78,-0.94,0.487,1
"chr5",1737959,1738260,2.38,1.84,2.78,-0.94,0.487,1
"chr7",21050786,21051245,3.62,3.09,4,-0.91,0.487,1
"chr2",203102249,203103593,5.3,4.77,5.68,-0.91,0.487,1
"chr5",128429829,128431208,6.83,6.27,7.23,-0.96,0.487,1
"chr6",128976990,128977653,3.97,3.48,4.34,-0.86,0.487,1
"chr2",174985132,174986717,4.88,4.39,5.24,-0.85,0.487,1
"chr12",96043077,96043623,3.89,3.32,4.29,-0.98,0.487,1
"chr6",154731646,154732404,4.23,3.74,4.59,-0.85,0.487,1
"chr12",63328045,63329222,5.97,5.43,6.37,-0.94,0.487,1
"chr20",14016571,14017189,2.41,1.81,2.83,-1.02,0.487,1
"chr5",40755116,40756357,5.96,5.44,6.34,-0.9,0.487,1
"chr1",145233492,145234002,0.07,-1.06,0.7,-1.75,0.487,1
"chr17",53262476,53262710,0.07,-1.06,0.7,-1.75,0.487,1
"chr2",95564742,95565243,0.07,-1.06,0.7,-1.75,0.487,1
"chr2",109815679,109816389,0.07,-1.06,0.7,-1.75,0.487,1
"chr7",61980362,61980567,0.07,-1.06,0.7,-1.75,0.487,1
"chr9",66783147,66784435,0.07,-1.06,0.7,-1.75,0.487,1
"chrX",24329729,24330083,0.07,-1.06,0.7,-1.75,0.487,1
"chr4",141294144,141295214,6.17,5.62,6.57,-0.95,0.487,1
"chr13",52768002,52768901,4.72,4.24,5.08,-0.84,0.487,1
"chr13",26611418,26611788,2.39,1.81,2.8,-0.99,0.487,1
"chr10",95462050,95462719,4.84,4.37,5.2,-0.83,0.487,1
"chr4",13908893,13909411,3.75,3.24,4.13,-0.89,0.487,1
"chr10",103124443,103124848,2.49,1.94,2.88,-0.94,0.487,1
"chr6",15245251,15246345,6.32,5.78,6.71,-0.93,0.487,1
"chr6",42749749,42751495,5.36,4.91,5.71,-0.81,0.487,1
"chr4",188507623,188508465,4.88,4.34,5.27,-0.93,0.487,1
"chr2",162164594,162165266,5.49,4.97,5.87,-0.9,0.487,1
"chr1",67390276,67391409,6.81,6.27,7.21,-0.94,0.487,1
"chrX",129243243,129245448,5.47,4.95,5.85,-0.9,0.487,1
"chr12",59543788,59544185,3.39,2.56,3.91,-1.35,0.487,1
"chr8",128490805,128491348,3.45,3.83,2.93,0.9,0.487,1
"chr16",75517011,75518010,4.73,4.2,5.11,-0.92,0.487,1
"chr2",230872848,230873303,2.85,2.33,3.23,-0.9,0.487,1
"chr12",21322890,21323237,2.66,2.09,3.06,-0.97,0.487,1
"chr3",192682753,192683328,2.66,2.09,3.06,-0.97,0.487,1
"chr9",113102590,113102979,2.66,2.09,3.06,-0.97,0.487,1
"chr4",154074198,154075019,5.1,4.57,5.48,-0.91,0.487,1
"chr7",23799400,23800161,4.11,3.6,4.49,-0.89,0.487,1
"chr8",56433360,56433854,4.4,3.84,4.8,-0.96,0.487,1
"chr15",86383451,86384257,5,4.5,5.37,-0.87,0.487,1
"chr6",10801228,10801895,3.77,3.26,4.15,-0.9,0.487,1
"chr2",239592703,239593649,3.69,3.21,4.05,-0.83,0.487,1
"chr7",99844684,99845335,3.71,3.18,4.1,-0.92,0.487,1
"chr3",123698560,123699242,3.08,2.56,3.47,-0.9,0.487,1
"chr5",148390448,148391094,3.08,2.56,3.47,-0.9,0.487,1
"chr8",46940983,46941536,3.76,3.2,4.16,-0.96,0.487,1
"chr11",16939752,16940547,3.86,3.35,4.23,-0.89,0.487,1
"chr18",28621667,28623030,4.29,3.82,4.65,-0.84,0.487,1
"chr9",84137609,84138278,4.5,3.93,4.91,-0.98,0.487,1
"chr2",25142479,25143848,5.7,5.2,6.08,-0.88,0.487,1
"chr6",87775906,87776816,3.17,2.66,3.54,-0.88,0.487,1
"chr3",129381827,129382346,3.98,3.48,4.35,-0.87,0.487,1
"chr2",88486575,88487664,3.92,3.4,4.31,-0.9,0.487,1
"chr7",147959739,147960234,3.96,3.45,4.33,-0.88,0.487,1
"chr9",101983760,101984922,6.19,5.67,6.57,-0.91,0.488,1
"chr8",30560233,30560893,4.28,3.77,4.66,-0.9,0.488,1
"chr16",81439306,81439782,5.33,4.8,5.72,-0.92,0.488,1
"chrX",136134334,136134970,4.13,3.61,4.51,-0.9,0.488,1
"chr7",149535085,149536289,6.51,5.98,6.9,-0.93,0.488,1
"chr7",38409418,38409870,4.01,3.46,4.4,-0.95,0.488,1
"chr3",169976250,169976711,3.7,3.14,4.1,-0.96,0.488,1
"chr2",197318338,197318729,2.81,2.27,3.21,-0.94,0.488,1
"chr4",181830449,181830773,2.84,2.29,3.24,-0.95,0.488,1
"chr1",242010953,242011731,5.68,5.14,6.07,-0.93,0.488,1
"chr19",42289427,42289924,2.85,3.22,2.34,0.89,0.488,1
"chr10",112874121,112874600,3.7,3.16,4.09,-0.93,0.488,1
"chr7",137846191,137846715,4.05,3.52,4.44,-0.92,0.488,1
"chr1",120092219,120092691,3.54,2.98,3.95,-0.97,0.488,1
"chr9",79008692,79009995,6.48,5.94,6.87,-0.93,0.488,1
"chr4",159777982,159778273,2.43,1.81,2.86,-1.05,0.488,1
"chr2",43055948,43056425,3.72,3.21,4.1,-0.88,0.488,1
"chr6",114200604,114201024,3.6,3.02,4.01,-0.99,0.488,1
"chr3",7587944,7588357,2.79,2.18,3.22,-1.04,0.488,1
"chr3",67048244,67049241,6.61,6.05,7.02,-0.97,0.488,1
"chr1",215287158,215288352,5.5,4.95,5.9,-0.95,0.488,1
"chr11",1051023,1051479,4.09,3.63,4.44,-0.82,0.488,1
"chr5",150226566,150227050,3.47,2.92,3.86,-0.94,0.488,1
"chr7",64254444,64255289,5.6,5.06,5.99,-0.93,0.488,1
"chr12",18583358,18583756,3.02,2.48,3.42,-0.94,0.488,1
"chr3",23136552,23136945,3.02,2.48,3.42,-0.94,0.488,1
"chr12",66802876,66803435,3.35,2.86,3.71,-0.85,0.488,1
"chr6",86173966,86174827,4.5,4.03,4.86,-0.84,0.488,1
"chr8",71060262,71060622,3.88,3.34,4.28,-0.94,0.488,1
"chr5",110559373,110560558,6.3,5.76,6.7,-0.94,0.488,1
"chr2",33895650,33896000,2.76,2.16,3.19,-1.03,0.488,1
"chr4",178230763,178231667,5.31,4.8,5.69,-0.89,0.488,1
"chrX",15872413,15873583,5.64,5.13,6.02,-0.89,0.488,1
"chr4",123719092,123719628,3.78,3.2,4.19,-0.99,0.488,1
"chr6",2932348,2932881,3.52,3.02,3.89,-0.87,0.488,1
"chr7",123341606,123341924,2.54,1.97,2.95,-0.98,0.488,1
"chr2",237936031,237936596,3.25,2.72,3.64,-0.92,0.488,1
"chr2",54557552,54558558,5.19,4.68,5.56,-0.87,0.488,1
"chr12",50468960,50469417,3.44,2.91,3.83,-0.93,0.488,1
"chr10",88136914,88137429,4.61,4.1,4.99,-0.89,0.488,1
"chr16",50918156,50918964,3.62,3.14,3.97,-0.84,0.488,1
"chr5",133922478,133923222,4.68,4.16,5.05,-0.89,0.488,1
"chr4",186456069,186456957,5.2,4.69,5.57,-0.88,0.488,1
"chr9",100931407,100931863,3.25,2.71,3.65,-0.94,0.488,1
"chr8",70858426,70858835,4.02,3.46,4.43,-0.97,0.488,1
"chr8",37921588,37921963,2.85,2.37,3.22,-0.85,0.488,1
"chr5",87986727,87987174,3.83,3.33,4.2,-0.88,0.488,1
"chr5",168083187,168083939,3.83,3.33,4.2,-0.88,0.488,1
"chr17",73194840,73195354,2.04,1.42,2.47,-1.05,0.488,1
"chr5",180472624,180473326,2.01,1.46,2.4,-0.94,0.488,1
"chr7",104524004,104524751,4.86,4.34,5.25,-0.9,0.488,1
"chr4",56965474,56965771,2.5,1.97,2.88,-0.91,0.488,1
"chr10",135137762,135138383,3.44,2.97,3.79,-0.82,0.488,1
"chr2",134976522,134977182,3.58,3.03,3.98,-0.94,0.488,1
"chr21",40176923,40178471,6.2,5.7,6.57,-0.86,0.489,1
"chr9",32572202,32573455,5.52,5.01,5.9,-0.89,0.489,1
"chr1",52082491,52083551,4.86,4.34,5.24,-0.9,0.489,1
"chr12",6744920,6745480,4.09,3.62,4.44,-0.82,0.489,1
"chr5",110427769,110428704,5.47,4.93,5.86,-0.93,0.489,1
"chr2",75538993,75539471,2.93,2.38,3.33,-0.94,0.489,1
"chr3",194192787,194193432,2.93,2.38,3.33,-0.94,0.489,1
"chr1",188675832,188676276,3.24,2.68,3.65,-0.97,0.489,1
"chr7",41147104,41147874,4.71,4.18,5.1,-0.92,0.489,1
"chr9",124412504,124414142,5.1,4.63,5.46,-0.83,0.489,1
"chr21",34499445,34500000,4,3.49,4.38,-0.89,0.489,1
"chr11",86513642,86514015,3.71,3.15,4.11,-0.96,0.489,1
"chr4",140097380,140099572,7.05,6.54,7.43,-0.89,0.489,1
"chr14",76853426,76853858,3.55,3.04,3.92,-0.87,0.489,1
"chr1",78147923,78149505,6.6,6.07,6.99,-0.92,0.489,1
"chr4",113004360,113005182,4.47,3.98,4.84,-0.86,0.489,1
"chr15",34029870,34030347,3.08,2.58,3.45,-0.87,0.489,1
"chr5",135356194,135356533,3.08,2.58,3.45,-0.87,0.489,1
"chr10",43857455,43858197,5.6,5.09,5.98,-0.89,0.489,1
"chr11",73371960,73372704,3.93,3.45,4.28,-0.83,0.489,1
"chrX",105543468,105544087,3.17,2.61,3.57,-0.96,0.489,1
"chr12",120242071,120242572,4.47,3.95,4.85,-0.9,0.489,1
"chr17",69434766,69435301,4.12,3.61,4.5,-0.89,0.489,1
"chr11",78787523,78787931,2.74,2.16,3.16,-1,0.489,1
"chr12",58570081,58570472,2.74,2.16,3.16,-1,0.489,1
"chr4",92679653,92680025,2.74,2.16,3.16,-1,0.489,1
"chr7",97464819,97465207,2.74,2.16,3.16,-1,0.489,1
"chr15",102307203,102307678,0.65,1.22,-0.3,1.53,0.489,1
"chr2",87992350,87992803,0.65,1.22,-0.3,1.53,0.489,1
"chr2",96714802,96716013,0.65,1.22,-0.3,1.53,0.489,1
"chr15",41836038,41836705,4.45,3.96,4.82,-0.85,0.489,1
"chr1",211848748,211849638,5.75,5.22,6.14,-0.92,0.489,1
"chr11",14665047,14666288,5.78,5.28,6.16,-0.88,0.489,1
"chr4",77507087,77507607,4.7,4.2,5.06,-0.86,0.489,1
