"combineID"	"logFC"	"P.Value"	"adj.P.Val"	"Gene.symbol"	"GSE41258"	"GSE14297"	"GSE35834"
"gene_2862"	0.238330122417014	0.0191577830810301	0.167318043248361	"CD84"	"211191_at"	1430161	"8832_at"
"gene_142"	-0.29902499349245	0.0191639852883454	0.167318043248361	"ABI2"	"209856_x_at"	7210767	"10152_at"
"gene_19462"	0.345291462815066	0.019179700020455	0.167331962492763	"WDR25"	"219609_at"	870678	"79446_at"
"gene_12717"	-0.155182566675476	0.0191878133977218	0.167331962492763	"PFDN1"	"201507_at"	7000431	"5201_at"
"gene_6740"	-0.324991578969407	0.0192598739635428	0.167860997660251	"GLRX"	"206662_at"	160180	"2745_at"
"gene_2910"	-0.50774269904696	0.0192860490767121	0.167860997660251	"CDC25A"	"204696_s_at"	3140053	"993_at"
"gene_7415"	-0.162617613890759	0.019293314428937	0.167860997660251	"HDLBP"	"200643_at"	6960411	"3069_at"
"gene_198"	-0.226509250086078	0.0192997771651603	0.167860997660251	"ACLY"	"201127_s_at"	2630328	"47_at"
"gene_12924"	-0.569409800773757	0.0193042377723821	0.167860997660251	"PIK3R3"	"211580_s_at"	5570167	"8503_at"
"gene_10887"	0.24693519387042	0.0193303611120369	0.167876376974953	"NARFL"	"218742_at"	5340241	"64428_at"
"gene_12549"	-0.422897637808313	0.0193316439750012	0.167876376974953	"PDGFRA"	"211533_at"	1090433	"5156_at"
"gene_15563"	-0.203703959849294	0.0193394656972209	0.167876376974953	"SCAMP1"	"212425_at"	2690709	"9522_at"
"gene_13669"	-0.200076452036583	0.0193688578776793	0.167997627322643	"PRKCI"	"209678_s_at"	2970523	"5584_at"
"gene_2166"	-0.471838658908726	0.0193757561142777	0.167997627322643	"BTRC"	"222374_at"	6220653	"8945_at"
"gene_9151"	0.24092577808513	0.0194140440944179	0.168166988960223	"LAMP2"	"203042_at"	4200482	"3920_at"
"gene_14592"	-0.176193336981898	0.0194200566976399	0.168166988960223	"RBM23"	"219816_s_at"	5390255	"55147_at"
"gene_11702"	-0.592653710886478	0.0194288063912987	0.168166988960223	"NUP54"	"215213_at"	5720768	"53371_at"
"gene_17890"	-0.365444963662867	0.0194538252153442	0.168234732611561	"TFDP1"	"212330_at"	2940632	"7027_at"
"gene_9415"	-0.334893069768058	0.0194686311508943	0.168234732611561	"LMO4"	"209204_at"	620725	"8543_at"
"gene_11440"	0.306840653687724	0.0194701637130839	0.168234732611561	"NPTX1"	"204684_at"	3840193	"4884_at"
"gene_15566"	-0.480421381986296	0.0195289664206615	0.168646014092826	"SCAMP1"	"206668_s_at"	2350674	"9522_at"
"gene_12547"	-0.348688843091754	0.0195610114450303	0.16866814403708	"PDGFD"	"219304_s_at"	4780201	"80310_at"
"gene_6292"	-0.32360563396804	0.0195808361388084	0.16866814403708	"FUT4"	"209892_at"	610341	"2526_at"
"gene_19312"	-0.245289143003996	0.0195811855128316	0.16866814403708	"VDAC3"	"208844_at"	2370347	"7419_at"
"gene_7618"	0.581792572367037	0.0195881342488647	0.16866814403708	"HLF"	"204753_s_at"	5670187	"3131_at"
"gene_11013"	-0.204949683038456	0.0195971432652342	0.16866814403708	"NDUFB3"	"203371_s_at"	1740128	"4709_at"
"gene_18542"	-0.275372297431516	0.0195987632155762	0.16866814403708	"TRAM2"	"202369_s_at"	1010193	"9697_at"
"gene_2356"	-0.374224050408218	0.0196180320166389	0.168721321393515	"CALD1"	"212077_at"	2710368	"800_at"
"gene_3299"	-0.261879974008124	0.0196371249149292	0.168721321393515	"CHMP2B"	"202536_at"	2260767	"25978_at"
"gene_19916"	-0.138834510338492	0.0196385699628912	0.168721321393515	"ZNF207"	"200829_x_at"	4210195	"7756_at"
"gene_5294"	0.158434035645435	0.0196584809314419	0.168796038208822	"EIF4EBP2"	"208770_s_at"	5420717	"1979_at"
"gene_6341"	-0.37772616376266	0.0196954854959399	0.168997135389812	"FZD2"	"210220_at"	2470521	"2535_at"
"gene_11426"	-0.168038330256819	0.0197043564050704	0.168997135389812	"NPM1"	"200063_s_at"	2060154	"4869_at"
"gene_5274"	-0.262532162857962	0.0197188787028903	0.169025377127509	"EIF2S1"	"201143_s_at"	2850711	"1965_at"
"gene_2091"	-0.143498775431262	0.0197902249436957	0.169540390354302	"BRMS1"	"215631_s_at"	3800730	"25855_at"
"gene_3022"	0.209780823886353	0.0198372967223572	0.169846979672878	"CDK5R1"	"204996_s_at"	770484	"8851_at"
"gene_16896"	-0.253851976588012	0.0198960033245492	0.170252781149014	"SPAG5"	"203145_at"	7550349	"10615_at"
"gene_13570"	0.253877230611389	0.019940932635699	0.170540294336672	"PQLC1"	"218208_at"	5570564	"80148_at"
"gene_17913"	0.329629308140167	0.0199903219931383	0.170787674068113	"TFPI"	"214378_at"	4860689	"7035_at"
"gene_1554"	-0.183221974159318	0.0199925512694669	0.170787674068113	"ATP2C1"	"211137_s_at"	2360390	"27032_at"
"gene_17979"	-0.174030250174411	0.0200185747733632	0.170912982126298	"THAP4"	"220417_s_at"	540452	"51078_at"
"gene_13840"	-0.358431540029577	0.0200416555601373	0.170962521755018	"PSIP1"	"205961_s_at"	1240541	"11168_at"
"gene_7190"	-0.175811962840499	0.0200470934691474	0.170962521755018	"GRSF1"	"201520_s_at"	2260070	"2926_at"
"gene_1298"	-0.184765202370254	0.0200922773069253	0.171250825608063	"ARL6IP5"	"200761_s_at"	380100	"10550_at"
"gene_6895"	-0.222581183743215	0.0201433122943932	0.171514475424983	"GNL2"	"201948_at"	150021	"29889_at"
"gene_4892"	0.437393106470281	0.0201460000366311	0.171514475424983	"DPYD"	"204646_at"	5870678	"1806_at"
"gene_8482"	0.322751626091615	0.0201780420708355	0.171560288225616	"ITGAX"	"210184_at"	1240603	"3687_at"
"gene_6368"	0.257578440459889	0.020186958796309	0.171560288225616	"GAB2"	"203853_s_at"	3130273	"9846_at"
"gene_13186"	0.221279291270179	0.0201965862891237	0.171560288225616	"PLXNA3"	"203623_at"	3190040	"55558_at"
"gene_19811"	-0.254803928203906	0.0201969725442327	0.171560288225616	"ZFR"	"201856_s_at"	1710541	"51663_at"
"gene_943"	-0.183162558550814	0.0202150838235593	0.171617282409597	"ANKRD28"	"213035_at"	3390689	"23243_at"
"gene_7280"	-0.228194535532093	0.0202317566127343	0.171662007065883	"GUCY1B3"	"211555_s_at"	6450162	"2983_at"
"gene_3664"	-0.495922755912671	0.0202528882110185	0.171744492029437	"COL3A1"	"201852_x_at"	2450608	"1281_at"
"gene_9961"	0.28592456946112	0.0202801132675051	0.171878527535184	"MASP1"	"206449_s_at"	5270561	"5648_at"
"gene_18629"	-0.173585983064525	0.0203103678354062	0.172038073527594	"TRIM37"	"213009_s_at"	1430010	"4591_at"
"gene_9498"	0.321365669179167	0.0203494008909721	0.172271756024135	"LRRC32"	"203835_at"	2070553	"2615_at"
"gene_6699"	-0.451485168486826	0.020422818277412	0.172796099331987	"GJB3"	"205491_s_at"	4570324	"2707_at"
"gene_10912"	-0.222412476681433	0.0204850208860035	0.173220233618751	"NBN"	"202907_s_at"	1030398	"4683_at"
"gene_3656"	-0.392277991835487	0.0204959630663696	0.173220233618751	"COL21A1"	"208096_s_at"	4560100	"81578_at"
"gene_15100"	-0.263060545819682	0.0205133615584031	0.173269987753695	"RPL23A"	"213084_x_at"	7320368	"26809_at"
"gene_2962"	-0.363054891456526	0.0205641935677236	0.173560128118496	"CDC6"	"203967_at"	4860255	"990_at"
"gene_2659"	0.271986004718579	0.020570772559354	0.173560128118496	"CCL7"	"208075_s_at"	6590500	"6354_at"
"gene_6670"	-0.342453297588334	0.0206711661565429	0.174309463858983	"GIF"	"207033_at"	6250021	"2694_at"
"gene_15077"	-0.18465970442174	0.0206917775333902	0.174385574150386	"RPL22"	"214042_s_at"	6980082	"6146_at"
"gene_20091"	0.29375069558729	0.0207345436286609	0.174648209680248	"ZNF79"	"214138_at"	730630	"7633_at"
"gene_45"	0.661693336658886	0.0208107747187591	0.175025164199353	"ABCA8"	"204719_at"	580689	"10351_at"
"gene_9500"	-0.19390435307784	0.0208135975763853	0.175025164199353	"LRRC40"	"215063_x_at"	5130014	"55631_at"
"gene_69"	0.371124507721366	0.020829872234494	0.175025164199353	"ABCC6"	"215559_at"	3940187	"368_at"
"gene_17978"	-0.175768080107743	0.0208357909056434	0.175025164199353	"THAP4"	"220417_s_at"	510719	"51078_at"
"gene_1255"	-0.290470310873106	0.0208457981997577	0.175025164199353	"ARHGEF6"	"209539_at"	4730647	"9459_at"
"gene_8847"	-0.187949320450928	0.0208568132444009	0.175025164199353	"KIAA0586"	"205631_at"	2470324	"9786_at"
"gene_871"	-0.268802059033301	0.0208606925706643	0.175025164199353	"ANAPC5"	"208721_s_at"	7380288	"51433_at"
"gene_8412"	-0.29268347797546	0.0208725316739222	0.175026934125836	"IQGAP1"	"210840_s_at"	4180601	"8826_at"
"gene_4452"	0.246625668836681	0.0208851646006377	0.175035354993763	"DDIT4"	"202887_s_at"	1190193	"54541_at"
"gene_763"	0.514947966908286	0.0209151956819355	0.17511287366294	"ALDH4A1"	"203722_at"	1190026	"8659_at"
"gene_553"	-0.268415607233231	0.0209176818260674	0.17511287366294	"AGPAT4"	"219693_at"	4210477	"79992_at"
"gene_6452"	-0.388822490428844	0.0209330503614213	0.175136795070272	"GALNT10"	"207357_s_at"	6400097	"55568_at"
"gene_9698"	0.163631703667031	0.0209438101997402	0.175136795070272	"MAFG"	"204970_s_at"	4250411	"4097_at"
"gene_18075"	-0.23051983417669	0.0209739213363541	0.175291207082066	"TKT"	"208700_s_at"	1580181	"7086_at"
"gene_18948"	-0.281971262174716	0.020992422465911	0.175303325126009	"UBE2C"	"202954_at"	2450603	"11065_at"
"gene_15497"	-0.187519611547243	0.0209986643105364	0.175303325126009	"S100A6"	"217728_at"	1500553	"6277_at"
"gene_12782"	0.270166440006223	0.0210761114799396	0.175714098330499	"PHF1"	"202928_s_at"	6980414	"5252_at"
"gene_15209"	-0.170607011526395	0.0210766543958313	0.175714098330499	"RPP30"	"203436_at"	2570424	"10556_at"
"gene_16167"	-0.299162380111867	0.0210991423221446	0.175714098330499	"SLC17A5"	"221041_s_at"	1570543	"26503_at"
"gene_2233"	-0.499487068191782	0.0211337733456719	0.175714098330499	"CA12"	"214164_x_at"	4180524	"771_at"
"gene_11260"	-0.144273961925878	0.0211407098987402	0.175714098330499	"NHP2L1"	"201077_s_at"	4290709	"4809_at"
"gene_19343"	-0.258170112827789	0.0211427713454195	0.175714098330499	"VIPR1"	"205019_s_at"	5820397	"7433_at"
"gene_12649"	0.245924790324802	0.0211439428258268	0.175714098330499	"PEBP1"	"205353_s_at"	4260142	"5037_at"
"gene_2731"	-0.220109310242969	0.0211518065679255	0.175714098330499	"CCT8"	"210436_at"	1300719	"10694_at"
"gene_16445"	0.499844215407326	0.0211623753753563	0.175714098330499	"SLC7A2"	"207626_s_at"	1410072	"6542_at"
"gene_7269"	-0.223765897077593	0.0211646067149345	0.175714098330499	"GTSE1"	"204318_s_at"	4590221	"51512_at"
"gene_1227"	0.314529281551444	0.0212169389985298	0.175971915674442	"ARHGDIB"	"201288_at"	360762	"397_at"
"gene_7315"	-0.176741266279875	0.0212190424494494	0.175971915674442	"H2AFY"	"207168_s_at"	5820402	"9555_at"
"gene_6282"	-0.245401070815596	0.0212893054236293	0.176388653930446	"FUBP1"	"203091_at"	2510661	"8880_at"
"gene_14236"	0.428506824391815	0.0213269971804232	0.176388653930446	"QPRT"	"204044_at"	7050458	"23475_at"
"gene_13655"	-0.171820536346259	0.0213285990891199	0.176388653930446	"PRKAR2A"	"204842_x_at"	4900593	"5576_at"
"gene_15655"	0.265181424833769	0.0213292106534911	0.176388653930446	"SDC4"	"202071_at"	2100577	"6385_at"
"gene_119"	-0.217085015617285	0.0213447865796158	0.176388653930446	"ABHD5"	"218739_at"	2510754	"51099_at"
"gene_15262"	-0.249874934743721	0.0213548995981907	0.176388653930446	"RPS6KA1"	"203379_at"	5890674	"6195_at"
"gene_18860"	-0.245137470378518	0.0213618420675075	0.176388653930446	"TUBG1"	"201714_at"	1850204	"7283_at"
"gene_15097"	-0.261422133098613	0.0213688000620431	0.176388653930446	"RPL23A"	"208825_x_at"	7320368	"26809_at"
"gene_8633"	-0.141041735148856	0.0213747611459695	0.176388653930446	"KATNB1"	"203162_s_at"	3310161	"10300_at"
"gene_3712"	-0.353791066564247	0.0214020784777455	0.176517306984671	"COLEC12"	"221019_s_at"	5900612	"81035_at"
"gene_15813"	-0.184272140915366	0.0214415542587141	0.176746043100856	"SET"	"40189_at"	2230296	"6418_at"
"gene_18143"	-0.176771757229044	0.0214609862649862	0.176777024970905	"TM9SF3"	"217758_s_at"	6760438	"56889_at"
"gene_15537"	-0.214102681460403	0.0214688015975827	0.176777024970905	"SAR1A"	"201543_s_at"	5420681	"56681_at"
"gene_8812"	-0.373956013174179	0.0215048387632334	0.176958405176002	"KHDRBS3"	"209781_s_at"	5960215	"10656_at"
"gene_358"	-0.395953789807039	0.0215143423778955	0.176958405176002	"ADAM15"	"217007_s_at"	1990280	"8751_at"
"gene_581"	-0.21741652945888	0.0215277842477425	0.176972260238678	"AHCYL1"	"200850_s_at"	6100066	"10768_at"
"gene_10335"	-0.276705023385791	0.0215768601443809	0.177278874941715	"MKI67"	"212023_s_at"	4050603	"4288_at"
"gene_10586"	-0.213612872249597	0.021615779110243	0.177287362846695	"MSH6"	"202911_at"	1300441	"2956_at"
"gene_2057"	-0.243741076790306	0.0216203135472249	0.177287362846695	"BRCC3"	"221196_x_at"	1820541	"79184_at"
"gene_2175"	-0.262174542963537	0.0216348427781504	0.177287362846695	"BUB1B"	"203755_at"	6760014	"701_at"
"gene_12576"	-0.233333887299633	0.021636705028163	0.177287362846695	"PDLIM1"	"208690_s_at"	3780209	"9124_at"
"gene_14436"	0.262374395899396	0.0216392815173354	0.177287362846695	"RAMP1"	"204916_at"	460376	"10267_at"
"gene_15858"	-0.293899928954952	0.0216485631751412	0.177287362846695	"SF3B1"	"201070_x_at"	2370315	"23451_at"
"gene_3017"	-0.219900066301955	0.0216639314503183	0.17731195734255	"CDK2AP1"	"201938_at"	60575	"8099_at"
"gene_19363"	-0.256724637017487	0.0216801482748798	0.17731195734255	"VPS13A"	"214785_at"	770725	"23230_at"
"gene_17895"	0.169592478543017	0.0216869062893725	0.17731195734255	"TFEB"	"50221_at"	240703	"7942_at"
"gene_9894"	0.358663662990508	0.0217481901494511	0.177688257698028	"MAPK8IP3"	"213177_at"	6960274	"23162_at"
"gene_143"	-0.208660994880328	0.0217565412528213	0.177688257698028	"ABI2"	"207268_x_at"	7570458	"10152_at"
"gene_5069"	-0.14976699592546	0.021785059816742	0.177824685662473	"DYRK4"	"212954_at"	110605	"8798_at"
"gene_9319"	-0.538430760017076	0.0218202685889873	0.178015546233841	"LIAS"	"214045_at"	4040215	"11019_at"
"gene_13624"	-0.225062236862945	0.0218455639242213	0.178125367382112	"PREPL"	"212215_at"	4050241	"9581_at"
"gene_324"	-0.244508591236754	0.0218989255593149	0.178463794000437	"ACTR3"	"213102_at"	380307	"10096_at"
"gene_2721"	-0.175949352478764	0.0219299179153364	0.178619656093963	"CCT6A"	"201326_at"	70347	"908_at"
"gene_3458"	-0.449028047181743	0.0219662689256619	0.178804265599278	"CLEC3B"	"205200_at"	4880187	"7123_at"
"gene_18284"	-0.494019763515817	0.0219763414402514	0.178804265599278	"TNC"	"216005_at"	1940427	"3371_at"
"gene_1426"	-0.243248367664576	0.0220128630486701	0.178955099304517	"ASTN2"	"215407_s_at"	540746	"23245_at"
"gene_12781"	0.266049050406223	0.0220351698347524	0.178955099304517	"PHF1"	"202928_s_at"	4830142	"5252_at"
"gene_11583"	0.332067693208943	0.022040915945382	0.178955099304517	"NRXN2"	"209983_s_at"	2900332	"9379_at"
"gene_6048"	-0.285379197572731	0.0220424364941917	0.178955099304517	"FGFBP1"	"205014_at"	6250315	"9982_at"
"gene_14295"	-0.258926992507964	0.0220781275744442	0.179124354602089	"RAB3D"	"208466_at"	7400193	"9545_at"
"gene_17985"	-0.344446293302944	0.0220959552922675	0.179124354602089	"THBS1"	"201110_s_at"	5910376	"7057_at"
"gene_70"	0.367307751821366	0.0221080863612199	0.179124354602089	"ABCC6"	"215559_at"	1230646	"368_at"
"gene_8678"	0.375346107284682	0.0221108856531146	0.179124354602089	"KCNH2"	"205262_at"	7650196	"3757_at"
"gene_9086"	-0.268913799369278	0.0221749920079521	0.179547057398437	"KRT8"	"216821_at"	3140189	"3856_at"
"gene_17318"	-0.411239261653959	0.0222222833565624	0.179763786843436	"STOM"	"201060_x_at"	1170390	"2040_at"
"gene_18804"	-0.179773348644836	0.0222256449186576	0.179763786843436	"TSTA3"	"36936_at"	6040670	"7264_at"
"gene_5078"	-0.32907883718536	0.0222649882231439	0.179985286108895	"E2F5"	"221586_s_at"	7400253	"1875_at"
"gene_16925"	-0.187381115346438	0.0222891648920483	0.180084009637741	"SPATS2"	"218324_s_at"	5670288	"65244_at"
"gene_17395"	-0.534216871870914	0.0223260358903011	0.180200948707783	"SULF1"	"212353_at"	7050703	"23213_at"
"gene_14460"	-0.180420144936444	0.0223275823372319	0.180200948707783	"RAP1GDS1"	"209444_at"	6980221	"5910_at"
"gene_10820"	0.233537396274796	0.0224108632033204	0.180712902208804	"MYO7A"	"211103_at"	510300	"4647_at"
"gene_19560"	0.539549575508407	0.0224150271341906	0.180712902208804	"WNT11"	"206737_at"	1070520	"7481_at"
"gene_16203"	0.241149819641672	0.0224437976691716	0.180847988499128	"SLC22A18"	"204981_at"	5890594	"5002_at"
"gene_17039"	-0.198987240572893	0.0225584758206979	0.18167478761538	"SPTLC1"	"202277_at"	7050369	"10558_at"
"gene_12079"	0.210715235693311	0.0226135787683775	0.182021169851133	"PARP12"	"218543_s_at"	3180452	"64761_at"
"gene_10727"	-0.557818861469149	0.0226538520252052	0.182247878505285	"MXD1"	"206877_at"	2260239	"4084_at"
"gene_12062"	-0.389692557964635	0.0226797067073455	0.182358410982353	"PAPSS2"	"203060_s_at"	6580491	"9060_at"
"gene_7541"	0.299138975694051	0.0227600721284094	0.182906890377372	"HIP1R"	"209558_s_at"	2450253	"9026_at"
"gene_17908"	0.351405395447309	0.0228054492755272	0.183173758001727	"TFPI"	"209676_at"	2260673	"7035_at"
"gene_11483"	0.31289879157361	0.0228255491390607	0.18318675875613	"NR2F2"	"209119_x_at"	1050689	"7026_at"
"gene_6938"	-0.233960947120721	0.0228314788975288	0.18318675875613	"GORASP2"	"208842_s_at"	1850682	"26003_at"
"gene_16296"	0.409780695483006	0.0228547993720322	0.18318675875613	"SLC2A5"	"204430_s_at"	1340025	"6518_at"
"gene_12355"	-0.245771371181673	0.0228557489332987	0.18318675875613	"PCM1"	"202174_s_at"	5960402	"5108_at"
"gene_6867"	0.260873169979696	0.0228977690500664	0.18341807830774	"GNB1L"	"220762_s_at"	2470392	"54584_at"
"gene_18609"	-0.410919317160944	0.0229187937052455	0.18341807830774	"TRIM29"	"202504_at"	6980392	"23650_at"
"gene_2449"	0.229641262786299	0.0229211669742797	0.18341807830774	"CAPN3"	"210944_s_at"	1230521	"825_at"
"gene_8656"	0.302354913707411	0.0229403058932485	0.183473689853972	"KCND1"	"206842_at"	4780477	"3750_at"
"gene_6868"	0.26796398722297	0.0229695250434006	0.183553632458427	"GNB1L"	"220762_s_at"	2360021	"79680_at"
"gene_7179"	0.24439653023487	0.0229818792342514	0.183553632458427	"GRN"	"211284_s_at"	3450328	"2896_at"
"gene_9688"	-0.153067033825095	0.0229919117397637	0.183553632458427	"MAEA"	"207922_s_at"	6660470	"10296_at"
"gene_19129"	-0.28253034976267	0.0230186823269552	0.183553632458427	"UQCRC2"	"200883_at"	840386	"7385_at"
"gene_19023"	-0.158568918662705	0.0230205541185654	0.183553632458427	"UBIAD1"	"219131_at"	4060368	"29914_at"
"gene_2571"	0.51403226216411	0.023023469178947	0.183553632458427	"CBLB"	"208348_s_at"	3520341	"868_at"
"gene_6093"	-0.189788120176815	0.0230665853023366	0.183800022218513	"FKBP11"	"219117_s_at"	6280730	"51303_at"
"gene_19767"	-0.236953885979799	0.023110633396135	0.184053573480753	"ZC3H7B"	"213323_s_at"	6480181	"23264_at"
"gene_5955"	0.331717093535988	0.023138126159109	0.184175079295034	"FCER1G"	"204232_at"	1440196	"2207_at"
"gene_5167"	-0.169450384240763	0.0231597832302061	0.184250030222549	"EEF2"	"204102_s_at"	2750626	"1938_at"
"gene_15860"	-0.329055462759519	0.0231869171884291	0.184368450882321	"SF3B1"	"214305_s_at"	2370315	"23451_at"
"gene_11278"	-0.184002579012274	0.0232540774843256	0.1848025037145	"NIPA2"	"212129_at"	270093	"81614_at"
"gene_10517"	-0.178326864974264	0.023278294734629	0.1848025037145	"MRPL20"	"220526_s_at"	3370639	"55052_at"
"gene_17114"	-0.306314655754237	0.0232783382303143	0.1848025037145	"SS18"	"209954_x_at"	6220139	"6760_at"
"gene_14837"	0.565601314291374	0.0232947535885431	0.184835335273986	"RHCG"	"219554_at"	5820427	"51458_at"
"gene_7637"	0.701044132235814	0.0233937955180083	0.185523398386228	"HMGCS2"	"204607_at"	50739	"3158_at"
"gene_9516"	-0.184927467406837	0.0234562878107167	0.185847130198021	"LRRC8D"	"218684_at"	3710673	"55144_at"
"gene_6617"	-0.321653389776113	0.0234593108806962	0.185847130198021	"GFPT1"	"202721_s_at"	5420451	"2673_at"
"gene_4984"	-0.252005935034611	0.0234776972940785	0.185894949852957	"DTYMK"	"203270_at"	2060228	"1841_at"
"gene_6989"	-0.450606198160738	0.0235256103415753	0.186176386362456	"GPM6B"	"209170_s_at"	940521	"2824_at"
"gene_12060"	-0.287414695004462	0.0235695077522589	0.186403305073221	"PAPSS1"	"209043_at"	6060593	"9061_at"
"gene_6803"	-0.268792205026844	0.0235790521431977	0.186403305073221	"GNA11"	"214679_x_at"	650110	"2767_at"
"gene_17984"	-0.279785856661453	0.0235956769771352	0.186425228011488	"THBD"	"203887_s_at"	5490348	"7056_at"
"gene_7703"	0.410667411996215	0.0236065961061583	0.186425228011488	"HOXB8"	"221278_at"	6550132	"3218_at"
"gene_9521"	-0.214896540089599	0.0236364026573019	0.186478220459446	"LRRFIP2"	"218364_at"	5260500	"9209_at"
"gene_17910"	0.360659671347309	0.0236380842835917	0.186478220459446	"TFPI"	"209676_at"	4860689	"7035_at"
"gene_139"	-0.290698241759116	0.0236754183406316	0.186674906685797	"ABI2"	"209856_x_at"	7570458	"10152_at"
"gene_11201"	0.171185747551368	0.0237237273938353	0.186955183859254	"NFIL3"	"203574_at"	6100228	"4783_at"
"gene_15886"	0.335246045582841	0.0237481726553024	0.186955183859254	"SFRP5"	"207468_s_at"	3140132	"6425_at"
"gene_3710"	0.308135148552627	0.0237523018587421	0.186955183859254	"COLEC10"	"207420_at"	6400687	"10584_at"
"gene_12354"	-0.233418682161944	0.0237705028972622	0.186955183859254	"PCM1"	"214937_x_at"	5960402	"5108_at"
"gene_12351"	0.557219262037804	0.0237730681574948	0.186955183859254	"PCK1"	"208383_s_at"	70541	"5105_at"
"gene_15047"	-0.183241756204465	0.0238062929781459	0.187118705956685	"RPL11"	"200010_at"	6370181	"6135_at"
"gene_148"	-0.243981906491637	0.0238525926930558	0.18738477307718	"ABL1"	"202123_s_at"	3840731	"25_at"
"gene_6887"	-0.248261036892831	0.0239840925070791	0.188306550699123	"GNG11"	"204115_at"	7200367	"2791_at"
"gene_2653"	-0.334960898065113	0.0240032095991973	0.188306550699123	"CCL22"	"207861_at"	6100180	"6367_at"
"gene_10546"	-0.153570297637265	0.0240110010726509	0.188306550699123	"MRPS11"	"211595_s_at"	4210288	"64963_at"
"gene_8411"	-0.211972835358932	0.0240199692627104	0.188306550699123	"IQGAP1"	"200791_s_at"	4180601	"8826_at"
"gene_2195"	-0.219609820521709	0.0241223840026667	0.189010996360302	"C1GALT1"	"219439_at"	10370	"56913_at"
"gene_4785"	-0.393619786556428	0.0241529075578752	0.189151698522964	"DNAJC10"	"221781_s_at"	670170	"54431_at"
"gene_1030"	-0.285844381868066	0.0241803693118678	0.189268288550304	"AP3B1"	"203142_s_at"	2900131	"8546_at"
"gene_4828"	-0.283189613220442	0.0242097420105671	0.189399707246911	"DNMT1"	"201697_s_at"	1410707	"1786_at"
"gene_19938"	0.42484900314948	0.0242408418633542	0.189534673274773	"ZNF234"	"217663_at"	1570288	"10780_at"
"gene_15567"	-0.460500374719628	0.0242521778319967	0.189534673274773	"SCAMP1"	"206668_s_at"	2690709	"9522_at"
"gene_2525"	-0.157360626190507	0.0242764163975391	0.189625645882594	"CASP3"	"202763_at"	4010431	"836_at"
"gene_9318"	-0.527439404883743	0.0243075874958342	0.189770646777643	"LIAS"	"214045_at"	3780079	"11019_at"
"gene_12411"	-0.148261377608953	0.0243388856672277	0.189822475801222	"PDCD2"	"213581_at"	110079	"5134_at"
"gene_9152"	0.23209723338513	0.0243394484650783	0.189822475801222	"LAMP2"	"203042_at"	6400113	"3920_at"
"gene_18880"	-0.297167565563153	0.0243604611727227	0.18988796559908	"TUSC3"	"209227_at"	3310364	"7991_at"
"gene_16967"	-0.525457491271314	0.0244384329555978	0.190288504566154	"SPRED2"	"212466_at"	4120408	"200734_at"
"gene_12769"	-0.197287804032419	0.0244408064989742	0.190288504566154	"PHB"	"200658_s_at"	5910427	"5245_at"
"gene_9261"	0.363422696150797	0.0244497719792015	0.190288504566154	"LEPR"	"211356_x_at"	6560192	"3953_at"
"gene_7221"	0.355064988229425	0.0245141045937505	0.190642566380987	"GSTZ1"	"209531_at"	1470050	"2954_at"
"gene_2022"	-0.345827854033643	0.0245304781794251	0.190642566380987	"BMPR2"	"209920_at"	3400487	"659_at"
"gene_1936"	-0.228347058681803	0.0245332614323659	0.190642566380987	"BDH2"	"218285_s_at"	4070500	"56898_at"
"gene_6659"	-0.168997928236289	0.0245461243473695	0.190644098904337	"GHITM"	"209248_at"	380504	"27069_at"
"gene_2707"	-0.358972479319539	0.0245666957177837	0.190648942921964	"CCR6"	"206983_at"	4230021	"1235_at"
"gene_5714"	-0.209603072314434	0.0246061043192147	0.190648942921964	"EXOSC10"	"207541_s_at"	5490142	"5394_at"
"gene_13422"	-0.268818082582793	0.0246106257315126	0.190648942921964	"PPIC"	"204518_s_at"	870681	"5480_at"
"gene_9443"	-0.299634801132347	0.0246121171483983	0.190648942921964	"LPHN3"	"209867_s_at"	650092	"23284_at"
"gene_9689"	-0.159293474391761	0.0246148650328024	0.190648942921964	"MAEA"	"207922_s_at"	7160528	"10296_at"
"gene_8050"	-0.202743722886303	0.024622744156278	0.190648942921964	"IER3IP1"	"211406_at"	150228	"51124_at"
"gene_10651"	-0.247979772575047	0.0246457462314794	0.190728931761557	"MTHFD2"	"201761_at"	6770095	"10797_at"
"gene_14591"	-0.292279571329674	0.0246950129502982	0.190976186919646	"RBM17"	"221309_at"	5420767	"84991_at"
"gene_15884"	-0.588037853087942	0.0247071111705732	0.190976186919646	"SFRP4"	"204051_s_at"	2690372	"6424_at"
"gene_1938"	-0.290807467538715	0.0247249682849843	0.190976186919646	"BDKRB2"	"205870_at"	4810450	"624_at"
"gene_8126"	0.457721498476851	0.0247646731763455	0.190976186919646	"IGFBP2"	"202718_at"	5690370	"3485_at"
"gene_8997"	-0.295281361828939	0.0247689129717197	0.190976186919646	"KLK12"	"220782_x_at"	1440026	"43849_at"
"gene_6566"	0.42133560366772	0.0247694487210458	0.190976186919646	"GCKR"	"206867_at"	2710717	"2646_at"
"gene_9537"	-0.179552577479504	0.0247749629834456	0.190976186919646	"LSM4"	"202736_s_at"	4830563	"25804_at"
"gene_5612"	-0.165262190658075	0.0247791983161088	0.190976186919646	"ERICH1"	"217611_at"	50427	"157697_at"
